id,title,New latitude,New longitude
9589,Poor Take Up Arms with Rebels as Guerrillas Strike at Heart of India,19.066667,82.033056
9912,Islands of Senegal,14.65,-17.47
10746,Bolivia: Climate Change Delegates Rally for International Climate Justice Tribunal,-17.388333,-66.159722
12817,New Tech Offers Hope of Tackling TB in South Africa,-33.925278,18.423889
12829,Drug-resistant TB in South Africa,-33.9575,18.460556
12909,Ethiopia: &quot;Hero&quot; Farmer Finds Her Place,7.933333,38.716667
12923,How Bangladesh&#039;s Female Health Workers Boosted Family Planning,23.366667,90.683333
12941,World Cup: Photos of England Fans in &quot;The Place to Avoid&quot;,-3.118889,-60.021667
12955,"Guatemala: In a Land of Plenty, a Reporter’s Snapshots of Malnutrition",15.03,-91.15
12969,This Is How Brazilians Reacted When Their Team Won Its Shootout with Chile,-15.595833,-56.096944
13235,Patagonia Without Hydropower,-47.254722,-72.575
13247,China: Shen Zhen Yuan Ping Special Education School,22.546667,114.054444
15602,Nuclear Power and the Urgent Threat of Climate Change,41.789722,-87.599722
16299,Hurricane Irma Might Bring Communal Ownership of Barbuda to an End,17.64,-61.81
16373,Bird’s-Eye Views of Badlands,-23.921,32.162
16624,"The Zapatistas: A Small, Very Small, Ever So Small Rebellion",17.133333,-93.166667
16694,Did Hands Across the Hills Fall Short?,42.451944,-72.501944
19279,The Hunt for the Modern-Day Pirates Who Steal Millions of Tons of Fish From the Seas,-22.956111,14.508056
19307,Expanding Fires and COVID-19 Worsen the Situation Facing Indigenous People in Mato Grosso (Portuguese),-16.266667,-56.633333
22229,Se debilita el trazo de la madera en la Amazonía peruana,-8.363056,-76.315556
22392,Where Does Recyclable Waste Go? (Portuguese),-23.550394,-46.633947
22479,"In Brazil’s Most Indigenous City, Prejudice and Diversity Go Hand In Hand",-0.119167,-67.082778
22543,"In Boa Vista, Indigenous Brazilians Retake Their Identity Through Education",2.819444,-60.671389
22565,"In Rio De Janeiro, Indigenous People Fight To Undo Centuries Of Erasure",-22.911111,-43.205556
22574,"A Pandemic, a Hurricane, and Earthquakes: How Much Can Puerto Rico&#039;s University Students Take?",18.403056,-66.050556
22611,Días Eternos en Una Cárcel de Mujeres de El Salvador,13.694158,-89.110478
22746,The Amazon Is Fast Approaching a Point of No Return,-10.9,-62.76
22753,The Pandemic Plunged Millions of Latin Americans Into Poverty. Its Youth Are Inheriting the Consequences,-3.733333,-73.25
22784,"Their Town Wiped Out by a Mudslide, People of La Reina Mourn",15.027358,-88.647508
22823,Survivors of Guatemalan Mudslide Face Death or Emigration,15.5,-90.333333
23036,"In Peru, Ancient Food Technologies Revived in Pursuit of Future Security",-13.536197,-71.926117
23367,‘A National Call for Food Production:’ Sustainable Farming Seeks Revolution in Puerto Rico,18.226667,-66.391111
23474,"In Haiti, the Difficult Relationship of Gangs and Business",18.536111,-72.346389
23495,Indigenous Guides Warn of Repercussions if we Don’t Fix our Relationship with Nature,10.866667,-73.72
23543,An Ancestral Technology To Face the Climate Crisis in Cusco,-13.536197,-71.926117
23595,Storm,18.536111,-72.346389
23606,Land of the Black Snails,12.1,-85.366667
23664,Dreams Detained: Young Migrants and the Families They Leave Behind in Guatemala,14.833333,-91.516667
23669,Where Will the Next Pandemic Begin? The Amazon Rainforest Offers Troubling Clues,-3.1189,-60.0217
23688,How Americans’ Appetite for Leather in Luxury SUVs Worsens Amazon Deforestation,-8.761944,-63.903889
23690,Los Asientos de Piel de Las Camionetas de Lujo Impulsan la Deforestación de la Amazonia,-9.779774,-64.208827
23841,Los Que No Aparecen (The Missing Ones),-2.19,-79.8875
23888,Many Students in Puerto Rico Suffer from Menstrual Injustice. Here’s How Activists Want To Help.,18.402778,-66.05
23964,Crude Bargain,6.801111,-58.155
24091,The High-Altitude Quest To Save Alpacas,-15.725,-70.735556
24888,Nigeria&#039;s Sectarian Violence: Faces of the Victims,9.066667,7.483333
24892,Ecuador: Antisana&#039;s Vanishing Glaciers,-0.22,-78.5125
24894,China&#039;s Bachelor Villages,39.906667,116.3975
24922,Erased in the Dominican Republic,18.4625,-69.9361
24941,"Two Men, Two Visions of Salafi Islam",34.5,76.5
24942,Haiti: When the Story Isn&#039;t Over,18.536111,-72.346389
24973,"In Belarus, Looking Outward for Change",53.900556,27.558611
24974,Equatorial Guinea: A House Fire in New Billing,1.591667,10.822222
24988,A Casualty of the Afghan Opium Trade,34.532778,69.165833
24989,The Persian Gulf&#039;s Nuclear Choice,25.204722,55.270833
24994,Mexico: Life and Death in the Northern Pass,31.6685,-106.42
24998,Young Artists of Post-Revolutionary Egypt,30.044444,31.235833
25012,Ivory Coast: Water Builds Bridges in Divided Community,12.368611,-1.5275
25025,"For Central America&#039;s Pura Vida State, a Drug War Test",9.932739,-84.079614
25030,How China&#039;s Gender Gap Is Creating Too Many Single Men—And Hurting Women,39.906667,116.3975
25038,Doors of Afghanistan,36.7,67.116667
25050,Rhetoric and Reality on Water,6.310556,-10.804722
25066,Afghanistan: The Elements&#039; Armistice,36.7,67.116667
25084,Afghanistan: Crime Scene,36.7,67.116667
25090,Gold Lures Illegal Miners to Peru&#039;s Rainforests,-11.99,-70.59
25102,"Letter from Iraq: As the US Military Withdraws, Sectarian Tensions Continue to Smolder",33.315278,44.366111
25138,Many Leaks Yearning for Plugs in Nigeria&#039;s Water Sector,9.055556,7.491389
25145,Cuba: Interview with Laura Pollán,23.136667,-82.358889
25150,The Importance of Hand-Washing Marked on Global Handwashing Day,-6.1753,106.8269
25162,Escaping from Burma but Falling into Slavery,13.7525,100.494167
25185,Dancing Girls of the Swat Valley,35.2,72.483333
25189,"In Iraq, Remembering a Day That Changed Two Countries Forever",30.515,47.81
25233,Understanding Polio: A Glossary,28.613889,77.208889
25243,Life in the Swat Valley,35.2,72.483333
25245,Swat&#039;s Female Dancers Struggle With Taliban&#039;s Legacy,35.2,72.483333
25250,Development vs. Protection: The South-West&#039;s Struggle,33.2,103.9
25264,U.S. Government Cannot Confirm Mass Graves in Sudan,11.016667,29.716667
25265,The Cartel Next Door,21.018889,-101.262778
25268,Peacebuilding: Can it Stabilize Countries After the Fighting Stops?,8.487222,-13.235556
25290,Ethiopia: Documentary Spurs Adoption Regulation,9.03,38.74
25309,"Nepal: Escaped from the Sex Trade, Unable to Go Home",27.71,85.32
25318,Crisis in Sudan: Allegations of Ethnic Cleansing in the Nuba Mountains,12.016667,31.1
25393,Ethiopia: A &quot;Land Grab&quot; or a Path to Food Security?,7.333333,37.366667
25405,China&#039;s Wetland Revolution,21,110
25412,"Dans l&#039;ouest de la Côte d&#039;Ivoire, &quot;les violences sont loin d&#039;être terminées&quot;",6.816111,-5.274167
25418,From Cattle Raids to Peace Meetings,0.313611,32.581111
25420,Cordon And Search,0.313611,32.581111
25424,&#039;Cordon and Search&#039; Operations Part of Daily Life in Karamoja,0.313611,32.581111
25429,Retired General Johnson Lokurupacoh,0.313611,32.581111
25480,Blood Relations,43.583333,43.4
25526,Sudanese Stream to Polls in Southern Secession Vote,4.853889,31.5825
25536,Dispatch From Sudan: Is the End in Sight,4.853889,31.5825
25540,Trek to an Untouched Water Factory,4.60971,-74.08175
25541,Lisa Armstrong Featured as Housing Works 2010 AIDS Hero,40.7127,-74.0059
25543,Project:Report 2010: International Reporting from the Winners,38.904722,-77.016389
25634,United Pakistan: A Fashionista Designs a Flood Relief Plan,24.86,67.01
25658,Water in the Wrong Places: Rebuilding a Dam,13.513611,2.108889
25659,The Leonard Lopate Show: Scott Carney On the Sale of Human Eggs,38.904722,-77.016389
25664,The Commodification of Women&#039;s Bodies and Human Tissue,38.904722,-77.016389
25669,Halting the Slide Toward Failure,43.856389,18.413056
25677,International NGO Warns Global Recession Will Increase Human Trafficking,13.7525,100.494167
25680,The arithmetic of self-rule,64.175,-51.733333
25716,Where webcam meets storytelling: Pulitzer Center and iWitness,38.904722,-77.016389
25717,Can the U.N. Keep the Peace? on PBS&#039; NOW,40.749444,-73.968056
25732,Where&#039;s the profit?,38.904722,-77.016389
25740,War Crimes,31.5075,34.459722
25742,Fourth Estate Foreclosure: Why We Need a National Endowment for Journalism,47.603889,-122.33
25745,Tradition vs Tourism in Ladakh,34.164167,77.584722
25746,Pulitzer-Helium essay winners announced in media-focused round,38.904722,-77.016389
25752,Water Wars featured on special Foreign Exchange,38.904722,-77.016389
25771,Alisa Miller: Why we know less than ever about the world,38.904722,-77.016389
25773,Bridging the Gap: Traditional Journalism and New Media,38.904722,-77.016389
25776,"Comments, please",10.506111,-66.914444
25854,No Refuge for Refugee Children of Burma,3.147778,101.695278
25872,Midnight Run with the Garimpeiros,2.1874,-53.2856
25904,Inside and Behind Assam&#039;s Tea Gardens in Northeastern India,26.14,91.77
25933,The United Nations Peacebuilding Commission: Mixed Results Amid Tense Issues,40.749444,-73.968056
25946,Haiti: Life Goes On,18.536111,-72.346389
25961,"Liberia: Punishing rape, one year later",6.310556,-10.804722
25962,Jen Marlowe back in South Sudan; Rebuilding Hope has moved!,4.853889,31.5825
26007,A modest proposal for federal funding of journalism,40.8075,-73.961944
26012,Being Gay in Jamaica: A Woman&#039;s Perspective,18.18,-77.4
26018,"One Island, Two Jamaicas and A Whole Heap of Difference",18.18,-77.4
26025,Nonviolent Peaceforce and the work of reconciliation,38.904722,-77.016389
26038,Pandemic and Fake News in Alto Xingu (Spanish),-11.232286,-53.184815
26047,Indigenous Activists’ Deaths Highlight Surging Colombia Conflict,2.45,-76.616667
26256,Children of the Mine,8.39673,-62.6837
26451,Cycles: A Reflection on Non-Linear Growth,18.465278,-66.116667
26574,A New Vision of Artificial Intelligence for the People,-35.1125,173.262778
26760,Susana Raffalli: “Stunted growth is the most miserable dimension of extractivism.”,10.466667,-66.95
27005,Why Reporting from the Amazon Has Become So Dangerous,-5.358889,-70.986111
27104,Syrian Refugees Find Little Hope in Lebanon’s Election,34.550556,36.078056
27153,Videos: TRIDOM and All Activities That Concern the Forest (French),1.679772,12.759503
27173,Haiti’s Brain Drain: Educated Youth Are Leaving the Country As Fast as They Can,18.536111,-72.346389
27617,Documentary: Hi-Merimã - Traces of an Isolated People (Portuguese),-6.366667,-65
27851,"Without Demarcation, Indigenous Lands Suffer From Invasions and the Presence of Criminal Factions",-9.065833,-68.656944
27887,Smoking Fish Causes Deforestation (French),-4.7975,11.850278
27917,"Waimiri Atroaris Resist the Highway, Mining Company, Power Plant, Transmission Line, and Fight Against the Temporal Mark (Portuguese)",-0.860553,-60.522396
27948,Bolsonaro Allies Stand Firm in Amazon Bastion,2.819444,-60.671389
27970,Indigenous People In Politics (Portuguese),-4.635833,-70.265833
28177,How Indigenous Communities Advanced to the Legislature With Votes From the Southeast and the Weight of the Environmental Agenda (Portuguese),-23.5524,-46.6914
28178,"Meet Maial and Vanda, Indigenous Candidates who put the Amazon and its Peoples at the Center of Their Campaign in 2022 (Portuguese)",-3.1189,-60.0217
28321,Amazon Runs Out of Progressive Congressional Representatives (Portuguese),-3.118889,-60.021667
28402,"Arfak Mountains Nature Reserve, a Flora Sanctuary in the Land of Papua (bahasa Indonesia)",-3.118889,-60.021667
28743,Purple Martins Intrigue Scientists by Making Small Amazonian Island Home (Portuguese),-3.07389,-60.29806
28746,Bangladeshi Immigrant Reconnects With Islam in Chicago,41.881944,-87.627778
29561,Yanomami Are Exploited in the Piassaba Extraction Industry with Long Working Days and Accumulated Debt (Portuguese),-2.926564,-59.309795
29562,Groups With an Interest in Yanomami Piassaba Are Organizing To Exploit the Fiber (Portuguese),-0.975,-62.923889
29588,Demarcation of Indigenous Land With Exploitation of Piassaba by Private Owners Has Dragged On for 16 Years at Funai (Portuguese),-0.13,-67.088889
29841,Hunting the King (German),5.852222,-55.203889
29917,The Race To Extract an Indigenous Language From Its Last Lucid Speaker,-8.383333,-74.55
30594,Drug Trafficking and Illegal Gold Mining Share Plans and Pilots in the Amazon,-4.275833,-55.983889
31276,La depredación del pulpo bebé: ¿el fin de la pesca de la esperanza en el sur de México?,19.806182,-90.600702
31639,PRODUCE Issued Irregular Permits To Export More Than 24 Tons of Shark Fins (Spanish),-12.099167,-77.034722
32660,Los secretos de la ‘caja negra’ de ‘Mare Doricum’,-11.9208,-77.1426
32719,Trapped in Myanmar’s Cyber-Scam Factories,23.694722,98.764444
32916,"In Congo, Embroidery Artist Stitches an Archive of War",-1.679444,29.233611
33259,The Road to a Just Energy Transition,55.861111,-4.25
33407,"Skies of Danger, Seas of Trouble",49.25,-84.5
35310,Only 11 States Hit 95%: Public Health Experts Warns of Measles Herd Immunity Drop,38.904722,-77.016389
9522,Ethnic Kachins defy Myanmar&#039;s junta,26,97.5
9534,Georgia/Russia field report aired on HDNet 9/16,41.7225,44.7925
9623,Tribal leaders sign agreement with U.S. military to use militiamen as police,33.315278,44.366111
9698,Previous Global Issues/Citizen Voices Writing Contests,38.904722,-77.016389
9702,Women&#039;s Challenges in Iraq and Beyond,33.315278,44.366111
9723,David Enders Interviewed on Foreign Exchange with Fareed Zakaria,33.315278,44.366111
9728,Images from the Last Day of Carnaval in Two Small Coca-Farming Communities in Los Yungas,-16.3349,-68.0376
9801,Project: Report 2010 Winner - For Higher Ground,33.315278,44.366111
9802,Project: Report 2010 Winner - The World Mobility Problem,33.315278,44.366111
9803,Project: Report 2010 Winner - Students Combat Violence with Community,33.315278,44.366111
9804,Project: Report 2010 Winner - Florida&#039;s Modern Day &quot;Slavery&quot;,33.315278,44.366111
9805,Project: Report 2010 Winner - Without a Sound,33.315278,44.366111
9820,"Loss of Trees, Loss of Life?",-1.9525,30.115
9839,"Secrets, Taboos and Private Lives in Jamaica",17.995877,-76.955109
9876,Project: Report 2008 Winner,33.315278,44.366111
9877,Round 2 Finalist: Factory Town Blues,33.315278,44.366111
9878,Round 2 Finalist: Little Change...Big Difference,33.315278,44.366111
9879,"Round 2 Finalist: Tracking, Fuel, and Lives",33.315278,44.366111
9880,Round 2 Finalist: Art in a Time of War,33.315278,44.366111
9898,"Our Choice, Too: On the Edge in Darfur",13,25
9914,Rick Rowley interviewed on three radio stations,40.7128,-74.0061
10010,South Africa: Soccer Provides Hope and Skills for Better Life,-26.9,27.45
10011,Starving and Immobile: They Crawl,14.6417,-90.5133
10042,Boy in Blue,18.536389,-72.346389
10322,Congo&#039;s Bloody Coltan,-4.321944,15.311944
10333,The Fall of Africa&#039;s First Narco-State,11.86,-15.583333
10430,"In South Sudan, Schools Still Function Under Trees",4.8539,31.5825
10461,Old Dhaka: A Day in the Life,23.764444,90.388889
10462,Bangladesh: Village Lessons in Sanitation,23.466667,90.65
10463,Reducing Classroom Casualties,23.755,89.65
10465,"Bangladesh: Teaching Swimming, Saving Lives",23.764444,90.388889
10637,Multimedia presentation: Jeff&#039;s photographs and Michelle&#039;s experiences on the icefield,58.6,-134.5
10638,Foreign Exchange Episode Dedicated to Water Issues,28.61,77.23
10640,Water Wars Portal Featured on Foreign Exchange,28.61,77.23
10645,Bringing Clean Water to Ethiopians,9.03,38.74
10647,Words from an Ethiopian Water Walker,4.25,37.7
10649,Yellow Skies,38.46654,106.27056
10654,Environmental Refugees,37.303333,105.951944
10676,Editing on the Road Helps Focus Long Stories,38.9,83.816667
10677,Showcase: Shifting Sands,38,102
10678,Interview about Desertification in China,36.0606,103.8268
10723,Climate Change Voices,38.904722,-77.016389
10739,Agua Blanca: Hydroelectric Power in Peril Due to Melting Glaciers,-14.65,-69.233333
10858,Stalking A Wheat Killer in Kenya,-1.286389,36.817222
10863,Is Empowering Women Key to Eradicating Global Hunger?,40.7128,-74.0061
10886,Humanitarian Crisis in Congo,-4.321944,15.311944
